Billing Group,Invoice Status,Servicing Dealer,Dealer Invoice,Requested Amount,Approved Amount,Invoice Create Date,Invoice Issue?
 HD,Raymond Paid,60791,V30096632,85,85,01-05-2021,Yes
 AZ,Raymond Paid,60791,V30096663,120,120,01-05-2021,No
 HD,Raymond Paid,60791,V30096723,135.13,135.13,01-05-2021,No
 HD,Raymond Paid,60791,V30096630,159.13,159.13,01-05-2021,No
 HD,Raymond Paid,60791,V30096631,195.23,195.23,01-05-2021,No
 WM,Raymond Paid,60791,V30096730,203.5,203.5,01-05-2021,Yes
 WM,Raymond Paid,60791,V30096520,250,250,01-05-2021,Yes
 WM,Raymond Paid,60791,V30096735,250,250,01-05-2021,Yes
 WM,Raymond Paid,60791,V30096200,255.77,255.77,01-05-2021,Yes
 WM,Raymond Paid,60791,V30096725,356.25,356.25,01-05-2021,Yes
 WM,Raymond Paid,60791,V30096734,356.25,356.25,01-05-2021,Yes
 AZ,Raymond Paid,60791,V30096681,410,410,01-05-2021,No
 AZ,Raymond Paid,60791,V30096682,410,410,01-05-2021,No
 WM,Raymond Paid,60791,V30096731,429.25,429.25,01-05-2021,Yes
 HD,Raymond Paid,60791,V30096629,435.62,435.62,01-05-2021,Yes
 WM,Raymond Paid,60791,V30096732,488.29,488.29,01-05-2021,Yes
 WM,Raymond Paid,60791,V30096729,491,491,01-05-2021,Yes
 HD,Raymond Paid,60791,V30096722,605.32,605.32,01-05-2021,No
 HD,Raymond Paid,60791,V30096628,779.05,779.05,01-05-2021,No
 AZ,Raymond Paid,60791,V30096737,932.36,932.36,01-05-2021,Yes
 WM,Raymond Paid,60791,V30096724,1012.43,1012.43,01-05-2021,Yes
 WM,Raymond Paid,60791,V30096733,1273.36,1273.36,01-05-2021,Yes
 AZ,Raymond Paid,60791,V30096664,2340,2340,01-05-2021,No
 XPO,Raymond Paid,60791,V30096680,3479.95,3479.95,01-05-2021,No
 AZ,Reversed - Final,60791,V30096661,1111.22,0,01-05-2021,Yes
 AZ,Raymond Paid,60790,V10308780,90,90,01-06-2021,Yes
 AZ,Raymond Paid,60790,V10308761,97.16,97.16,01-06-2021,No
 AZ,Raymond Paid,60790,V10308760,135,135,01-06-2021,Yes
 AZ,Raymond Paid,60790,V10308772,135,135,01-06-2021,No
 AZ,Raymond Paid,60790,V10308783,151.2,151.2,01-06-2021,Yes
 AZ,Raymond Paid,60790,V10308779,157.5,157.5,01-06-2021,Yes
 AZ,Raymond Paid,60790,V10308789,180,180,01-06-2021,No
 AZ,Raymond Paid,60790,V10308790,229.72,229.72,01-06-2021,Yes
 AZ,Raymond Paid,60790,V10308762,247.5,247.5,01-06-2021,Yes
 AZ,Raymond Paid,60790,V10308791,339.6,339.6,01-06-2021,No
 AZ,Raymond Paid,60790,V10308788,353.1,353.1,01-06-2021,Yes
 AZ,Raymond Paid,60790,V10308770,376.01,376.01,01-06-2021,Yes
 AZ,Raymond Paid,60790,V10308768,608.83,608.83,01-06-2021,Yes
 AZ,Cancel,60790,V10308479,260,0,01-07-2021,Yes
 AZ,Cancel,60790,V10308494,852.5,0,01-07-2021,Yes
 WM,Raymond Paid,60790,V10308966,56,56,01-07-2021,No
 WM,Raymond Paid,60790,V10308968,64,64,01-07-2021,No
 AZ,Raymond Paid,60790,V10308926,75,75,01-07-2021,No
 HD,Raymond Paid,60790,V10308947,75,75,01-07-2021,Yes
 HD,Raymond Paid,60790,V10308948,77.5,77.5,01-07-2021,No
 AZ,Raymond Paid,60790,V10308925,80,80,01-07-2021,No
 HD,Raymond Paid,60790,V10308944,85,85,01-07-2021,Yes
 HD,Raymond Paid,60790,V10308946,85,85,01-07-2021,No
 ML,Raymond Paid,60790,V10308964,89.78,89.78,01-07-2021,No
 WM,Raymond Paid,60790,V10308938,113.6,113.6,01-07-2021,No
 WM,Raymond Paid,60790,V10308970,122.89,122.89,01-07-2021,Yes
 WM,Raymond Paid,60790,V10308973,129.6,129.6,01-07-2021,No
 WM,Raymond Paid,60791,V30096792,245,245,01-07-2021,Yes
 KH,Raymond Paid,60790,V10308962,377.25,377.25,01-07-2021,Yes
 KH,Raymond Paid,60790,V10308939,574.21,574.21,01-07-2021,Yes
 WM,Raymond Paid,60791,V30096794,680.82,680.82,01-07-2021,Yes
 WM,Raymond Paid,60791,V30096793,865.9,865.9,01-07-2021,Yes
 ML,Raymond Paid,60790,V10308940,890.35,890.35,01-07-2021,Yes
 AZ,Raymond Paid,60790,V10308920,5165.63,5165.63,01-07-2021,Yes
 ML,Raymond Paid,60791,V30096800,40,40,01-08-2021,No
 ML,Raymond Paid,60791,V30096803,40,40,01-08-2021,No
 ML,Raymond Paid,60791,V30096802,50,50,01-08-2021,No
 WM,Raymond Paid,60790,V10309056,167.48,167.48,01-08-2021,No
 WW,Raymond Paid,60791,V30096796,259.36,259.36,01-08-2021,Yes
 WM,Raymond Paid,60791,V30096806,287.76,287.76,01-08-2021,Yes
 AZ,Raymond Paid,60791,V30096798,292.5,292.5,01-08-2021,No
 HD,Raymond Paid,60791,V30096797,301.04,301.04,01-08-2021,Yes
 WM,Raymond Paid,60791,V30096807,416.34,416.34,01-08-2021,Yes
 AZ,Raymond Paid,60791,V30096799,660.96,660.96,01-08-2021,Yes
 WM,Raymond Paid,60791,V30096810,885.01,885.01,01-08-2021,Yes
 XL,Raymond Paid,60791,V30096878,55,55,01-11-2021,No
 ITL,Raymond Paid,60790,V10309110,60.26,60.26,01-11-2021,No
 WM,Raymond Paid,60791,V30096887,75,75,01-11-2021,Yes
 HS,Raymond Paid,60790,V10309094,114.93,114.93,01-11-2021,No
 KH,Raymond Paid,60790,V10309118,133,133,01-11-2021,No
 KH,Raymond Paid,60790,V10309122,182.5,182.5,01-11-2021,Yes
 WM,Raymond Paid,60791,V30096883,227.37,227.37,01-11-2021,Yes
 WM,Raymond Paid,60791,V30096881,333.49,333.49,01-11-2021,Yes
 KH,Raymond Paid,60790,V10309124,354.6,354.6,01-11-2021,Yes
 KH,Raymond Paid,60790,V10309126,369.4,369.4,01-11-2021,Yes
 WM,Raymond Paid,60791,V30096889,397.5,397.5,01-11-2021,Yes
 WAY,Raymond Paid,60790,V10309112,400,400,01-11-2021,No
 KH,Raymond Paid,60790,V10309117,402.55,402.55,01-11-2021,Yes
 HD,Raymond Paid,60791,V30096880,428.47,428.47,01-11-2021,No
 WM,Raymond Paid,60791,V30096888,468.19,468.19,01-11-2021,Yes
 HD,Raymond Paid,60791,V30096884,510.59,510.59,01-11-2021,Yes
 KH,Raymond Paid,60790,V10309120,631.75,631.75,01-11-2021,No
 KH,Raymond Paid,60790,V10309125,641.51,641.51,01-11-2021,Yes
 WM,Raymond Paid,60791,V30096882,872.5,872.5,01-11-2021,Yes
 HD,Raymond Paid,60791,V30096879,978.26,978.26,01-11-2021,No
 WM,Raymond Paid,60791,V30096885,1287,1287,01-11-2021,Yes
 AZ,Raymond Paid,60791,V10309131,1375,1375,01-11-2021,No
 WM,Raymond Paid,60791,V30096886,1534.87,1534.87,01-11-2021,Yes
 ITL,Raymond Paid,60790,V10309101,1744.91,1744.91,01-11-2021,Yes
 AZ,Raymond Paid,60790,V10309129,3580,3580,01-11-2021,No
 KH,Reversed - Final,60790,V10309116,1107.75,0,01-11-2021,Yes
 XL,Raymond Paid,60791,V30096908,55,55,01-12-2021,No
 XL,Raymond Paid,60791,V30096909,55,55,01-12-2021,No
 XL,Raymond Paid,60791,V30096907,63.65,63.65,01-12-2021,Yes
 PCS,Raymond Paid,60790,V10309240,65,65,01-12-2021,No
 PCS,Raymond Paid,60790,V10309241,65,65,01-12-2021,No
 AZ,Raymond Paid,60791,V30096911,112.5,112.5,01-12-2021,Yes
 HD,Raymond Paid,60790,V10309283,119.27,119.27,01-12-2021,No
 SC,Raymond Paid,60790,V10309273,149.85,149.85,01-12-2021,No
 MFD,Raymond Paid,60790,V10309255,179.55,179.55,01-12-2021,No
 AZ,Raymond Paid,60791,V30096912,225,225,01-12-2021,Yes
 WM,Raymond Paid,60791,V30096920,232.43,232.43,01-12-2021,Yes
 WM,Raymond Paid,60791,V30096921,244.44,244.44,01-12-2021,Yes
 WM,Raymond Paid,60791,V30096915,250,250,01-12-2021,Yes
 WM,Raymond Paid,60791,V30096916,250,250,01-12-2021,Yes
 WM,Raymond Paid,60791,V30096917,250,250,01-12-2021,Yes
 WM,Raymond Paid,60791,V30096918,250,250,01-12-2021,Yes
 WM,Raymond Paid,60791,V30096919,250,250,01-12-2021,Yes
 HS,Raymond Paid,60790,V10309228,324.59,324.59,01-12-2021,No
 MFD,Raymond Paid,60790,V10309295,343.55,343.55,01-12-2021,No
 WAY,Raymond Paid,60790,V10309239,367.42,367.42,01-12-2021,No
 SC,Raymond Paid,60790,V10309269,395.49,395.49,01-12-2021,Yes
 WM,Raymond Paid,60790,V10309216,464.65,464.65,01-12-2021,No
 WM,Raymond Paid,60791,V10309218,468,468,01-12-2021,Yes
 WM,Raymond Paid,60790,V10309203,507.8,507.8,01-12-2021,Yes
 WM,Raymond Paid,60791,V30096913,525,525,01-12-2021,Yes
 SC,Raymond Paid,60790,V10309268,526.72,526.72,01-12-2021,Yes
 WM,Raymond Paid,60791,V30096914,558.18,558.18,01-12-2021,Yes
 WM,Raymond Paid,60790,V10309223,562.59,562.59,01-12-2021,No
 WAY,Raymond Paid,60790,V10309238,801,801,01-12-2021,Yes
 AZ,Raymond Paid,60791,V30096910,835.92,835.92,01-12-2021,Yes
 WM,Raymond Paid,60790,V10309224,885.49,885.49,01-12-2021,Yes
 WM,Raymond Paid,60790,V10309200,1482,1482,01-12-2021,No
 WM,Raymond Paid,60790,V10309219,1959.33,1959.33,01-12-2021,Yes
 WM,Raymond Paid,60790,V10309206,2488.42,2488.42,01-12-2021,Yes
 KH,Raymond Paid,60790,V40005279,2700,2700,01-12-2021,No
 WM,Raymond Paid,60790,V10309204,3237.93,3237.93,01-12-2021,No
 ML,Raymond Paid,60790,V10309338,50,50,01-13-2021,No
 ML,Raymond Paid,60790,V10309344,50,50,01-13-2021,No
 ML,Raymond Paid,60790,V10309355,50,50,01-13-2021,No
 ML,Raymond Paid,60790,V10309366,50,50,01-13-2021,No
 ML,Raymond Paid,60790,V10309367,50,50,01-13-2021,No
 ML,Raymond Paid,60791,V30096975,50,50,01-13-2021,No
 ML,Raymond Paid,60791,V30096977,50,50,01-13-2021,No
 HS,Raymond Paid,60790,V10309482,65,65,01-13-2021,No
 HS,Raymond Paid,60790,V10309483,65,65,01-13-2021,No
 HS,Raymond Paid,60790,V10309484,65,65,01-13-2021,No
 ML,Raymond Paid,60790,V10309345,75,75,01-13-2021,No
 HD,Raymond Paid,60790,V10309410,75,75,01-13-2021,No
 HD,Raymond Paid,60790,V10309464,75,75,01-13-2021,No
 HD,Raymond Paid,60790,V10309465,75,75,01-13-2021,No
 HD,Raymond Paid,60790,V10309467,75,75,01-13-2021,No
 HD,Raymond Paid,60790,V10309471,75,75,01-13-2021,No
 ML,Raymond Paid,60790,V10309332,85,85,01-13-2021,Yes
 ML,Raymond Paid,60790,V10309334,85,85,01-13-2021,No
 ML,Raymond Paid,60790,V10309340,85,85,01-13-2021,No
 ML,Raymond Paid,60790,V10309341,85,85,01-13-2021,No
 ML,Raymond Paid,60790,V10309356,85,85,01-13-2021,No
 HD,Raymond Paid,60790,V10309406,85,85,01-13-2021,No
 HD,Raymond Paid,60790,V10309423,85,85,01-13-2021,No
 HD,Raymond Paid,60790,V10309424,85,85,01-13-2021,No
 HD,Raymond Paid,60790,V10309425,85,85,01-13-2021,No
 HD,Raymond Paid,60790,V10309434,85,85,01-13-2021,No
 HD,Raymond Paid,60790,V10309461,85,85,01-13-2021,No
 HD,Raymond Paid,60790,V10309475,85,85,01-13-2021,Yes
 HD,Raymond Paid,60790,V10309481,85,85,01-13-2021,No
 ML,Raymond Paid,60791,V30096976,85,85,01-13-2021,No
 HD,Raymond Paid,60790,V10309396,88.74,88.74,01-13-2021,No
 ML,Raymond Paid,60790,V10309362,95,95,01-13-2021,No
 AZ,Raymond Paid,60791,V30096822,120,120,01-13-2021,No
 HD,Raymond Paid,60790,V10309412,135.34,135.34,01-13-2021,No
 HD,Raymond Paid,60790,V10309405,136.95,136.95,01-13-2021,No
 ML,Raymond Paid,60790,V10309374,179.55,179.55,01-13-2021,No
 ML,Raymond Paid,60790,V10309373,188.63,188.63,01-13-2021,Yes
 HD,Raymond Paid,60790,V10309456,215.68,215.68,01-13-2021,No
 WM,Raymond Paid,60791,V30096979,248.89,248.89,01-13-2021,Yes
 WM,Raymond Paid,60791,V30096980,250.45,250.45,01-13-2021,Yes
 UA,Raymond Paid,60789,V10309377,254.37,254.37,01-13-2021,No
 HD,Raymond Paid,60789,V10309480,258.47,258.47,01-13-2021,Yes
 HD,Raymond Paid,60790,V10309394,270.71,270.71,01-13-2021,No
 WM,Raymond Paid,60791,V30096324,281.62,281.62,01-13-2021,Yes
 XPO,Raymond Paid,60791,V30096825,288,288,01-13-2021,No
 HD,Raymond Paid,60790,V10309554,306.26,306.26,01-13-2021,Yes
 ML,Raymond Paid,60790,V10309339,333.65,333.65,01-13-2021,Yes
 ML,Raymond Paid,60790,V10309336,390.8,390.8,01-13-2021,Yes
 HD,Raymond Paid,60790,V10309399,400.63,400.63,01-13-2021,No
 XPO,Raymond Paid,60791,V30096973,405.05,405.05,01-13-2021,Yes
 XPO,Raymond Paid,60791,V30096974,427.05,427.05,01-13-2021,Yes
 ML,Raymond Paid,60790,V10309346,438.18,438.18,01-13-2021,Yes
 WM,Raymond Paid,60791,V30096978,443.72,443.72,01-13-2021,Yes
 ML,Raymond Paid,60790,V10309371,479.11,479.11,01-13-2021,No
 HD,Raymond Paid,60790,V10309416,537.82,537.82,01-13-2021,Yes
 KN,Raymond Paid,60791,V30096827,557.14,557.14,01-13-2021,No
 AZ,Raymond Paid,60791,V30096736,680.16,680.16,01-13-2021,Yes
 UA,Raymond Paid,60790,V10309381,799.28,799.28,01-13-2021,No
 KH,Raymond Paid,60790,V10309385,1239.85,1239.85,01-13-2021,Yes
 XPO,Raymond Paid,60791,V30096824,1433.38,1433.38,01-13-2021,No
 HD,Raymond Paid,60790,V10309595,85,85,01-14-2021,No
 MFD,Raymond Paid,60790,V40005283,100.45,100.45,01-14-2021,No
 AZ,Raymond Paid,60790,V10309577,135,135,01-14-2021,No
 AZ,Raymond Paid,60790,V10305283a,180,180,01-14-2021,No
 KH,Raymond Paid,60790,V10309611,271.15,271.15,01-14-2021,Yes
 WM,Raymond Paid,60792,V20077830,279.87,279.87,01-14-2021,Yes
 ITL,Raymond Paid,60790,V10309601,300.18,300.18,01-14-2021,Yes
 AZ,Raymond Paid,60790,V10309578,304.01,304.01,01-14-2021,Yes
 AZ,Raymond Paid,60790,V10309573,319.72,319.72,01-14-2021,Yes
 AZ,Raymond Paid,60790,V10309580,349.72,349.72,01-14-2021,Yes
 ITL,Raymond Paid,60790,V10309599,747.77,747.77,01-14-2021,Yes
 ML,Raymond Paid,60790,V10309623,995.5,995.5,01-14-2021,Yes
 AZ,Raymond Paid,60790,V40005289,40,40,01-15-2021,No
 ML,Raymond Paid,60791,V30097046,50,50,01-15-2021,No
 ML,Raymond Paid,60791,V30097047,50,50,01-15-2021,No
 HS,Raymond Paid,60790,V10309656,65,65,01-15-2021,No
 HD,Raymond Paid,60790,V10309664,75,75,01-15-2021,No
 HD,Raymond Paid,60789,V10309661,83.12,83.12,01-15-2021,No
 HD,Raymond Paid,60790,V10309644,85,85,01-15-2021,Yes
 HS,Raymond Paid,60790,V10309652,85,85,01-15-2021,No
 HD,Raymond Paid,60790,V10309666,85,85,01-15-2021,No
 HS,Raymond Paid,60790,V10309650,95,95,01-15-2021,No
 HS,Raymond Paid,60790,V10309651,95,95,01-15-2021,Yes
 HS,Raymond Paid,60790,V10309655,95,95,01-15-2021,No
 HS,Raymond Paid,60790,V10309657,95,95,01-15-2021,No
 HS,Raymond Paid,60790,V10309658,95,95,01-15-2021,Yes
 AZ,Raymond Paid,60791,V30097049,157.5,157.5,01-15-2021,No
 SC,Raymond Paid,60790,V10309732,157.9,157.9,01-15-2021,No
 UA,Raymond Paid,60790,V10309679,169.58,169.58,01-15-2021,No
 UA,Raymond Paid,60790,V10309677,282.62,282.62,01-15-2021,No
 HD,Raymond Paid,60791,V30097045,467.1,467.1,01-15-2021,No
 WM,Raymond Paid,60790,V10309641,481.55,481.55,01-15-2021,Yes
 AZ,Raymond Paid,60790,V10309716,500.5,500.5,01-15-2021,Yes
 WM,Raymond Paid,60790,V10309751,547.2,547.2,01-15-2021,No
 AZ,Raymond Paid,60791,V30097052,557.4,557.4,01-15-2021,Yes
 WM,Raymond Paid,60790,V10309744,594.31,594.31,01-15-2021,No
 AZ,Raymond Paid,60791,V30097050,622.46,622.46,01-15-2021,Yes
 WM,Raymond Paid,60790,V10309642,693.48,693.48,01-15-2021,No
 AZ,Raymond Paid,60790,V10309715,770.5,770.5,01-15-2021,Yes
 AZ,Raymond Paid,60791,V30097048,862.72,862.72,01-15-2021,No
 ITL,Raymond Paid,60790,V40005286,918.05,918.05,01-15-2021,Yes
 SC,Raymond Paid,60790,V10311213,1410.16,1410.16,01-15-2021,Yes
 UA,Raymond Paid,60791,V30096662,1620,1620,01-15-2021,Yes
 KH,Reversed - Final,60790,V10309720,332.5,166.25,01-15-2021,No
 PCS,Raymond Paid,60791,V30096906,65,65,01-18-2021,Yes
 WM,Raymond Paid,60791,V30096890,76.25,76.25,01-18-2021,Yes
 WM,Raymond Paid,60790,V10309884,140.8,140.8,01-18-2021,Yes
 XPO,Raymond Paid,60791,V30097091,216.45,216.45,01-18-2021,Yes
 WM,Raymond Paid,60791,V30097103,244.05,244.05,01-18-2021,Yes
 WM,Raymond Paid,60791,V30097102,246.66,246.66,01-18-2021,Yes
 WM,Raymond Paid,60791,V30097108,249.77,249.77,01-18-2021,Yes
 WM,Raymond Paid,60791,V30097107,249.78,249.78,01-18-2021,Yes
 WM,Raymond Paid,60791,V30097096,250,250,01-18-2021,Yes
 WM,Raymond Paid,60791,V30097097,250,250,01-18-2021,Yes
 WM,Raymond Paid,60791,V30097098,250,250,01-18-2021,Yes
 WM,Raymond Paid,60791,V30097099,250,250,01-18-2021,Yes
 WM,Raymond Paid,60791,V30097100,250,250,01-18-2021,Yes
 WM,Raymond Paid,60791,V30097101,250,250,01-18-2021,Yes
 WM,Raymond Paid,60791,V30097104,250,250,01-18-2021,Yes
 WM,Raymond Paid,60791,V30097105,250,250,01-18-2021,Yes
 WM,Raymond Paid,60791,V30097106,250,250,01-18-2021,Yes
 WM,Raymond Paid,60791,V30097094,276.91,276.91,01-18-2021,Yes
 WM,Raymond Paid,60790,V10309891,574.13,574.13,01-18-2021,No
 WM,Raymond Paid,60791,V30097095,662.7,662.7,01-18-2021,Yes
 WM,Raymond Paid,60791,V30097093,788.88,788.88,01-18-2021,Yes
 WM,Raymond Paid,60791,V10309863,925.8,925.8,01-18-2021,Yes
 WM,Raymond Paid,60791,V30097092,1412.11,1412.11,01-18-2021,Yes
 COL,Raymond Paid,60791,V30097147,65,65,01-19-2021,No
 COL,Raymond Paid,60791,V30097151,65,65,01-19-2021,No
 COL,Raymond Paid,60791,V30097149,95,95,01-19-2021,No
 COL,Raymond Paid,60791,V30097152,95,95,01-19-2021,No
 WM,Raymond Paid,60790,V30097145,110.04,110.04,01-19-2021,Yes
 COL,Raymond Paid,60791,V30097150,122.74,122.74,01-19-2021,Yes
 XL,Raymond Paid,60791,V30097146,217.8,217.8,01-19-2021,Yes
 AZ,Raymond Paid,60791,V30097144,247.5,247.5,01-19-2021,Yes
 KN,Raymond Paid,60791,V30095902,334.27,334.27,01-19-2021,No
 WM,Raymond Paid,60791,V30097153,399.82,399.82,01-19-2021,Yes
 WM,Raymond Paid,60791,V30097154,794.67,794.67,01-19-2021,Yes
 WM,Raymond Paid,60791,V30097155,2055.53,2055.53,01-19-2021,Yes
 UA,Raymond Paid,60791,V30097214,25.71,25.71,01-20-2021,Yes
 ML,Raymond Paid,60790,V10310212,50,50,01-20-2021,No
 HD,Raymond Paid,60789,V10310188,55,55,01-20-2021,No
 HD,Raymond Paid,60790,V10310199,55,55,01-20-2021,Yes
 OD,Raymond Paid,60790,V10310218,65,65,01-20-2021,No
 OD,Raymond Paid,60790,V10310220,65,65,01-20-2021,No
 OD,Raymond Paid,60790,V10310221,65,65,01-20-2021,No
 OD,Raymond Paid,60790,V10310224,65,65,01-20-2021,No
 XPO,Raymond Paid,60791,V30097212,65,65,01-20-2021,Yes
 HD,Raymond Paid,60791,V30097210,75.03,75.03,01-20-2021,Yes
 UA,Raymond Paid,60789,V10310229,84,84,01-20-2021,No
 UA,Raymond Paid,60789,V10310231,84,84,01-20-2021,No
 UA,Raymond Paid,60789,V10310232,84,84,01-20-2021,No
 UA,Raymond Paid,60789,V10310233,84,84,01-20-2021,No
 HD,Raymond Paid,60790,V10310185,85,85,01-20-2021,No
 HD,Raymond Paid,60789,V10310187,85,85,01-20-2021,No
 HD,Raymond Paid,60789,V10310190,85,85,01-20-2021,No
 ML,Raymond Paid,60790,V10310214,85,85,01-20-2021,No
 OD,Raymond Paid,60790,V10310225,85,85,01-20-2021,Yes
 OD,Raymond Paid,60790,V10310215,95,95,01-20-2021,No
 OD,Raymond Paid,60790,V10310226,95,95,01-20-2021,No
 UA,Raymond Paid,60789,V10310235,115.01,115.01,01-20-2021,No
 XL,Raymond Paid,60791,V30095575,137.25,137.25,01-20-2021,Yes
 HD,Raymond Paid,60790,V10310197,151.89,151.89,01-20-2021,Yes
 XL,Raymond Paid,60791,V30095576,172.2,172.2,01-20-2021,Yes
 HS,Raymond Paid,60790,V10310201,174.78,174.78,01-20-2021,No
 COL,Raymond Paid,60791,V30097209,200,200,01-20-2021,No
 XL,Raymond Paid,60791,V30095574,242.81,242.81,01-20-2021,Yes
 ML,Raymond Paid,60790,V10310209,319.43,319.43,01-20-2021,Yes
 XPO,Raymond Paid,60791,V30097211,327.6,327.6,01-20-2021,Yes
 ML,Raymond Paid,60790,V10310211,414.18,414.18,01-20-2021,Yes
 UA,Raymond Paid,60791,V30097213,437.11,437.11,01-20-2021,Yes
 HD,Raymond Paid,60790,V10310200,496.42,496.42,01-20-2021,Yes
 HD,Raymond Paid,60790,V10310189,502.49,502.49,01-20-2021,Yes
 WM,Raymond Paid,60792,V20077855,525.87,525.87,01-20-2021,Yes
 WM,Raymond Paid,60792,V20078135,544.5,544.5,01-20-2021,Yes
 HD,Raymond Paid,60790,V10310194,567.89,567.89,01-20-2021,Yes
 HD,Raymond Paid,60790,V10310184,1427.13,1427.13,01-20-2021,Yes
 MFD,Raymond Paid,60790,V40005294,31.68,31.68,01-21-2021,No
 HD,Raymond Paid,60790,V10310283,55,55,01-21-2021,Yes
 ITL,Raymond Paid,60790,V10310293,75,75,01-21-2021,No
 ITL,Raymond Paid,60790,V10310295,75,75,01-21-2021,No
 ML,Raymond Paid,60791,V30097254,75.4,75.4,01-21-2021,Yes
 ML,Raymond Paid,60791,V30097255,75.4,75.4,01-21-2021,Yes
 HD,Raymond Paid,60790,V10310284,85,85,01-21-2021,No
 ITL,Raymond Paid,60790,V10310291,85,85,01-21-2021,No
 ML,Raymond Paid,60790,V10310324,85,85,01-21-2021,No
 ML,Raymond Paid,60791,V30097256,102.63,102.63,01-21-2021,Yes
 KN,Raymond Paid,60791,V30097251,111.55,111.55,01-21-2021,Yes
 MFD,Raymond Paid,60790,V10310341,209.48,209.48,01-21-2021,No
 MFD,Raymond Paid,60790,V10310342,249.48,249.48,01-21-2021,No
 WM,Raymond Paid,60791,V30097258,250,250,01-21-2021,Yes
 WM,Raymond Paid,60791,V30097259,250,250,01-21-2021,Yes
 WM,Raymond Paid,60791,V30097257,250.13,250.13,01-21-2021,Yes
 ML,Raymond Paid,60790,V10310322,285.7,285.7,01-21-2021,Yes
 HD,Raymond Paid,60790,V10310279,285.95,285.95,01-21-2021,Yes
 AZ,Raymond Paid,60791,V30097250,315,315,01-21-2021,No
 ITL,Raymond Paid,60790,V10310289,344.35,344.35,01-21-2021,No
 XPO,Raymond Paid,60791,V30097252,395.4,395.4,01-21-2021,Yes
 ML,Raymond Paid,60791,V30097253,429.33,429.33,01-21-2021,Yes
 SC,Raymond Paid,60790,V10310325,575.44,575.44,01-21-2021,No
 TCI,Raymond Paid,60789,V10310346,999.14,999.14,01-21-2021,Yes
 AZ,Raymond Paid,60791,V30097375,45,45,01-25-2021,Yes
 KN,Raymond Paid,60791,V30097377,45,45,01-25-2021,No
 KN,Raymond Paid,60791,V30097379,45,45,01-25-2021,No
 KN,Raymond Paid,60791,V30097380,45,45,01-25-2021,No
 SC,Raymond Paid,60790,V10310606,45.56,45.56,01-25-2021,Yes
 SC,Raymond Paid,60790,V10310612,45.79,45.79,01-25-2021,Yes
 XL,Raymond Paid,60791,V30097373,61.66,61.66,01-25-2021,No
 ITL,Raymond Paid,60790,V10310574,75,75,01-25-2021,No
 ITL,Raymond Paid,60790,V10310575,75,75,01-25-2021,No
 ITL,Raymond Paid,60790,V10310576,75,75,01-25-2021,No
 KN,Raymond Paid,60791,V30097378,76.08,76.08,01-25-2021,Yes
 AZ,Raymond Paid,60790,V10310560,80,80,01-25-2021,No
 UA,Raymond Paid,60789,V10310618,84,84,01-25-2021,No
 UA,Raymond Paid,60789,V10310624,84,84,01-25-2021,No
 UA,Raymond Paid,60790,V10310627,84,84,01-25-2021,No
 UA,Raymond Paid,60790,V10310628,84,84,01-25-2021,Yes
 UA,Raymond Paid,60790,V10310630,84,84,01-25-2021,No
 UA,Raymond Paid,60790,V10310631,84,84,01-25-2021,No
 HD,Raymond Paid,60790,V10310593,108.02,108.02,01-25-2021,No
 WM,Raymond Paid,60790,V10310585,134.4,134.4,01-25-2021,No
 HD,Raymond Paid,60790,V10310592,228.99,228.99,01-25-2021,No
 WM,Raymond Paid,60791,V30097393,244.44,244.44,01-25-2021,Yes
 WM,Raymond Paid,60791,V30097394,248.21,248.21,01-25-2021,Yes
 WM,Raymond Paid,60791,V30097391,250,250,01-25-2021,Yes
 WM,Raymond Paid,60791,V30097392,250,250,01-25-2021,Yes
 WM,Raymond Paid,60791,V30097395,250,250,01-25-2021,Yes
 SC,Raymond Paid,60790,V10310610,264.74,264.74,01-25-2021,No
 AZ,Raymond Paid,60791,V30097374,270,270,01-25-2021,Yes
 WM,Raymond Paid,60791,V30097386,300,300,01-25-2021,Yes
 HD,Raymond Paid,60791,V30097372,315.42,315.42,01-25-2021,No
 UA,Raymond Paid,60790,V10310629,544.29,544.29,01-25-2021,Yes
 AZ,Raymond Paid,60791,V30097376,596.96,596.96,01-25-2021,Yes
 WM,Raymond Paid,60791,V30097382,795,795,01-25-2021,Yes
 WM,Raymond Paid,60791,V30097384,848.4,848.4,01-25-2021,Yes
 WM,Raymond Paid,60789,V10310584,921.41,921.41,01-25-2021,Yes
 WM,Raymond Paid,60791,V30097390,1738.03,1738.03,01-25-2021,Yes
 AZ,Raymond Paid,60790,V10310563,1999.8,1999.8,01-25-2021,Yes
 BKR,Raymond Paid,60791,V30095735,2219.68,2219.68,01-25-2021,Yes
 AZ,Raymond Paid,60790,V10310571,3150,3150,01-25-2021,No
 AZ,Raymond Paid,60791,V30097439,59,59,01-26-2021,Yes
 AZ,Raymond Paid,60791,V30097440,59,59,01-26-2021,Yes
 AZ,Raymond Paid,60791,V30097441,59,59,01-26-2021,Yes
 COL,Raymond Paid,60791,V30097148,65,65,01-26-2021,No
 AZ,Raymond Paid,60790,V10310750,75,75,01-26-2021,No
 AZ,Raymond Paid,60790,V10310756,75,75,01-26-2021,No
 AZ,Raymond Paid,60791,V30097436,75,75,01-26-2021,No
 AZ,Raymond Paid,60791,V30097437,75,75,01-26-2021,No
